,Hotel_name,Are, Review, price,url,facilities,checklist_facilities,city
0,Madinah Mövenpick Hotel,350 m from center, 7.6 ,599,https://booking.com/hotel/sa/madinah-movenpick.html?aid=397594&amp;label=gog235jc-1FCAEoggI46AdIM1gDaMQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALnor70BcACAQ&amp;sid=9a8ae4d8867833bea83d9859cbe75bff&amp;all_sr_blocks=23865821_244670208_2_0_0&amp;checkin=2020-05-10&amp;checkout=2020-05-11&amp;dest_id=-3092186&amp;dest_type=city&amp;group_adults=2&amp;group_children=0&amp;hapos=1&amp;highlighted_blocks=23865821_244670208_2_0_0&amp;hpos=1&amp;no_rooms=1&amp;sr_order=popularity&amp;sr_pri_blocks=23865821_244670208_2_0_0__59900&amp;srepoch=1587068931&amp;srpvid=d5c99001d9880051&amp;ucfs=1&amp;from=searchresults,[],"['Pets:Pets are not allowed.:', 'Food &amp; Drink:Restaurant:', 'Internet:WiFi is available in all areas and is free of charge.:', 'Parking:', 'No parking available.:', 'Front Desk Services:Concierge:ATM on site:Currency exchange:24-hour front desk:', 'Entertainment &amp; Family Services:Babysitting/Child services:', 'Cleaning Services:Shoeshine:Ironing service:Additional charge:Dry cleaning:Additional charge:Laundry:Additional charge:', 'Business Facilities:Fax/Photocopying:Additional charge:Business center:Meeting/Banquet facilities:Additional charge:', 'Safety &amp; Security:Safe:', 'General:Air conditioning:Shops (on site):Elevator:Family rooms:Facilities for disabled guests:Non-smoking rooms:Newspapers:Room service:', 'Languages Spoken:', 'Arabic:English:Hindi:Indonesian:']",Madinah
1,Dar Al Hijra InterContinental,750 m from center, 7.9 ,618,https://booking.com/hotel/sa/dar-al-hijra-intercontinental.html?aid=397594&amp;label=gog235jc-1FCAEoggI46AdIM1gDaMQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALnor70BcACAQ&amp;sid=9a8ae4d8867833bea83d9859cbe75bff&amp;all_sr_blocks=7938545_251338869_2_42_0&amp;checkin=2020-05-10&amp;checkout=2020-05-11&amp;dest_id=-3092186&amp;dest_type=city&amp;group_adults=2&amp;group_children=0&amp;hapos=2&amp;highlighted_blocks=7938545_251338869_2_42_0&amp;hpos=2&amp;no_rooms=1&amp;sr_order=popularity&amp;sr_pri_blocks=7938545_251338869_2_42_0__61750&amp;srepoch=1587068931&amp;srpvid=d5c99001d9880051&amp;ucfs=1&amp;from=searchresults,['Family rooms'],"['Outdoors:Outdoor furniture:', 'Pets:Pets are not allowed.:', 'Food &amp; Drink:On-site coffee shop:Chocolate/Cookies:Additional charge:Fruit:Additional charge:Bottle of water:Snack bar:Restaurant:', 'Accessibility:Bathroom emergency cord:Lowered sink:Raised toilet:Toilet with grab rails:Wheelchair accessible:', 'Internet:WiFi is available in all areas and is free of charge.:', 'Parking:', 'Free private parking is available  on site (reservation is not possible).:Accessible parking:Parking garage:Street parking:Secure parking:', 'Front Desk Services:Concierge:Ticket service:Tour desk:Currency exchange:Express check-in/out:24-hour front desk:', 'Entertainment &amp; Family Services:Indoor play area:', 'Cleaning Services:Daily housekeeping:Shoeshine:Ironing service:Additional charge:Dry cleaning:Additional charge:Laundry:Additional charge:', 'Business Facilities:Fax/Photocopying:Business center:Meeting/Banquet facilities:Additional charge:', 'Safety &amp; Security:Fire extinguishers:CCTV outside property:CCTV in common areas:Smoke alarms:Security alarm:24-hour security:Safe:', 'General:Convenience store (on site):Shared lounge/TV area:Designated smoking area:Air conditioning:Hypoallergenic room available:Shops (on site):Heating:Car rental:Chapel/Shrine:Soundproof rooms:Gift shop:Elevator:Honeymoon suite:VIP room facilities:Family rooms:Facilities for disabled guests:Non-smoking rooms:Newspapers:Room service:', 'Languages Spoken:', 'Arabic:Bengali:English:Hindi:Urdu:']",Madinah
2,Al Madinah Harmony Hotel,750 m from center, 7.2 ,440,https://booking.com/hotel/sa/al-madinah-harmony.html?aid=397594&amp;label=gog235jc-1FCAEoggI46AdIM1gDaMQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALnor70BcACAQ&amp;sid=9a8ae4d8867833bea83d9859cbe75bff&amp;all_sr_blocks=26445501_195398816_0_26_0&amp;checkin=2020-05-10&amp;checkout=2020-05-11&amp;dest_id=-3092186&amp;dest_type=city&amp;group_adults=2&amp;group_children=0&amp;hapos=3&amp;highlighted_blocks=26445501_195398816_0_26_0&amp;hpos=3&amp;no_rooms=1&amp;sr_order=popularity&amp;sr_pri_blocks=26445501_195398816_0_26_0__44000&amp;srepoch=1587068931&amp;srpvid=d5c99001d9880051&amp;ucfs=1&amp;from=searchresults,['Free WiFi'],"['Pets:Pets are not allowed.:', ""Food &amp; Drink:On-site coffee shop:Kid-friendly buffet:Kids' meals:Restaurant:"", 'Accessibility:Auditory guidance:Visual aids (tactile signs):Visual aids (Braille):Bathroom emergency cord:Lowered sink:Raised toilet:Toilet with grab rails:Wheelchair accessible:', 'Internet:WiFi is available in all areas and is free of charge.:', 'Parking:', 'Free private parking is available  on site (reservation is not possible).:Accessible parking:Parking garage:', 'Health &amp; Wellness Facilities:Locker rooms:Fitness:Fitness center:', 'Front Desk Services:Concierge:Baggage storage:Currency exchange:Express check-in/out:24-hour front desk:', 'Cleaning Services:Shoeshine:Ironing service:Additional charge:Dry cleaning:Additional charge:Laundry:Additional charge:', 'Business Facilities:Fax/Photocopying:Business center:Meeting/Banquet facilities:Additional charge:', 'Safety &amp; Security:Fire extinguishers:CCTV outside property:CCTV in common areas:Smoke alarms:Security alarm:24-hour security:Safe:', 'General:Convenience store (on site):Shared lounge/TV area:Designated smoking area:Air conditioning:Shops (on site):Packed lunches:Gift shop:Elevator:Honeymoon suite:VIP room facilities:Family rooms:Facilities for disabled guests:Non-smoking rooms:Newspapers:Room service:', 'Languages Spoken:', 'Arabic:English:']",Madinah
3,Millennium Madinah Airport,14 km from center, 8.3 ,550,https://booking.com/hotel/sa/millennium-madinah-airport.html?aid=397594&amp;label=gog235jc-1FCAEoggI46AdIM1gDaMQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALnor70BcACAQ&amp;sid=9a8ae4d8867833bea83d9859cbe75bff&amp;all_sr_blocks=336950501_239707817_0_42_0&amp;checkin=2020-05-10&amp;checkout=2020-05-11&amp;dest_id=-3092186&amp;dest_type=city&amp;group_adults=2&amp;group_children=0&amp;hapos=4&amp;highlighted_blocks=336950501_239707817_0_42_0&amp;hpos=4&amp;no_rooms=1&amp;sr_order=popularity&amp;sr_pri_blocks=336950501_239707817_0_42_0__55000&amp;srepoch=1587068931&amp;srpvid=d5c99001d9880051&amp;ucfs=1&amp;from=searchresults,['Restaurant'],"['Pets:Pets are not allowed.:', 'Food &amp; Drink:On-site coffee shop:Fruit:Additional charge:Bottle of water:Restaurant:', 'Internet:WiFi is available in all areas and is free of charge.:', 'Parking:', 'Free private parking is available  on site (reservation is not needed).:Accessible parking:Secure parking:', 'Health &amp; Wellness Facilities:Fitness:Fitness center:', 'Transportation:Airport drop-off:Airport pickup:Public transit tickets:', 'Front Desk Services:Concierge:ATM on site:Baggage storage:Express check-in/out:24-hour front desk:', 'Cleaning Services:Daily housekeeping:Suit press:Additional charge:Shoeshine:Ironing service:Additional charge:Dry cleaning:Additional charge:Laundry:Additional charge:', 'Business Facilities:Fax/Photocopying:Additional charge:Business center:Meeting/Banquet facilities:Additional charge:', 'Safety &amp; Security:Fire extinguishers:CCTV outside property:CCTV in common areas:Smoke alarms:Security alarm:24-hour security:Safe:', 'General:Adults only:Shared lounge/TV area:Airport shuttle (free):Air conditioning:Heating:Car rental:Elevator:Honeymoon suite:VIP room facilities:Facilities for disabled guests:Non-smoking rooms:Newspapers:Room service:', 'Languages Spoken:', 'Arabic:English:']",Madinah
4,Marina Palace Hotel,1.4 km from center, 7.5 ,"7,935",https://booking.com/hotel/sa/marina-palace.html?aid=397594&amp;label=gog235jc-1FCAEoggI46AdIM1gDaMQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALnor70BcACAQ&amp;sid=9a8ae4d8867833bea83d9859cbe75bff&amp;all_sr_blocks=438103316_194358717_3_0_0&amp;checkin=2020-05-10&amp;checkout=2020-05-11&amp;dest_id=-3092186&amp;dest_type=city&amp;group_adults=2&amp;group_children=0&amp;hapos=5&amp;highlighted_blocks=438103316_194358717_3_0_0&amp;hpos=5&amp;no_rooms=1&amp;sr_order=popularity&amp;sr_pri_blocks=438103316_194358717_3_0_0__793475&amp;srepoch=1587068931&amp;srpvid=d5c99001d9880051&amp;ucfs=1&amp;from=searchresults,['Non-smoking rooms'],"['Outdoors:Terrace:', 'Pets:Pets are not allowed.:', 'Food &amp; Drink:Bottle of water:Room service:', 'Internet:WiFi is available in all areas and is free of charge.:', 'Parking:', 'Free private parking is available  on site (reservation is not needed).:Accessible parking:Parking garage:Street parking:Secure parking:', 'Front Desk Services:24-hour front desk:', 'Cleaning Services:Daily housekeeping:Shoeshine:', 'Safety &amp; Security:Fire extinguishers:CCTV outside property:CCTV in common areas:Security alarm:', 'Miscellaneous:Air conditioning:Smoke-free property:Elevator:Family rooms:Facilities for disabled guests:Non-smoking rooms:', 'Languages Spoken:', 'Arabic:English:']",Madinah
5,Crowne Plaza Madinah,400 m from center, 7.8 ,285,https://booking.com/hotel/sa/crown-plaza-medina.html?aid=397594&amp;label=gog235jc-1FCAEoggI46AdIM1gDaMQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALnor70BcACAQ&amp;sid=9a8ae4d8867833bea83d9859cbe75bff&amp;all_sr_blocks=54715339_251337042_0_2_0&amp;checkin=2020-05-10&amp;checkout=2020-05-11&amp;dest_id=-3092186&amp;dest_type=city&amp;group_adults=2&amp;group_children=0&amp;hapos=6&amp;highlighted_blocks=54715339_251337042_0_2_0&amp;hpos=6&amp;no_rooms=1&amp;sr_order=popularity&amp;sr_pri_blocks=54715339_251337042_0_2_0__28500&amp;srepoch=1587068931&amp;srpvid=d5c99001d9880051&amp;ucfs=1&amp;from=searchresults,['Facilities for disabled guests'],"['Services &amp; Extras:Tickets to shows/attractions:Additional charge:', 'Pets:Pets are not allowed.:', 'Food &amp; Drink:Chocolate/Cookies:Fruit:Bottle of water:Kid-friendly buffet:Special diet meals (on request):Breakfast in the room:Restaurant:', 'Internet:WiFi is available in all areas and is free of charge.:', 'Parking:', 'Private parking is available on site (reservation is needed) and costs  SAR 100 per  day.:Accessible parking:Street parking:Secure parking:', 'Transportation:Airport drop-off:Additional charge:Airport pickup:Additional charge:', 'Front Desk Services:Private check-in/out:Concierge:Baggage storage:Ticket service:Currency exchange:Express check-in/out:24-hour front desk:', ""Entertainment &amp; Family Services:Kids' TV channels:"", 'Cleaning Services:Daily housekeeping:Suit press:Additional charge:Shoeshine:Ironing service:Additional charge:Dry cleaning:Additional charge:Laundry:Additional charge:', 'Business Facilities:Fax/Photocopying:Additional charge:Business center:Additional charge:Meeting/Banquet facilities:Additional charge:', 'Safety &amp; Security:Fire extinguishers:CCTV outside property:CCTV in common areas:Smoke alarms:Security alarm:24-hour security:Safe:', 'General:Shuttle service:Airport shuttle (additional charge):Shuttle service (free):Designated smoking area:Air conditioning:Shops (on site):Heating:Soundproof rooms:Gift shop:Elevator:Honeymoon suite:VIP room facilities:Family rooms:Hair/Beauty salon:Facilities for disabled guests:Non-smoking rooms:Newspapers:Room service:', 'Languages Spoken:', 'Arabic:English:French:Hindi:']",Madinah
6,Dar Al Iman InterContinental,500 m from center, 8.5 ,"1,900",https://booking.com/hotel/sa/dar-al-iman-intercontinental.html?aid=397594&amp;label=gog235jc-1FCAEoggI46AdIM1gDaMQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALnor70BcACAQ&amp;sid=9a8ae4d8867833bea83d9859cbe75bff&amp;all_sr_blocks=25049420_251342042_2_42_0&amp;checkin=2020-05-10&amp;checkout=2020-05-11&amp;dest_id=-3092186&amp;dest_type=city&amp;group_adults=2&amp;group_children=0&amp;hapos=7&amp;highlighted_blocks=25049420_251342042_2_42_0&amp;hpos=7&amp;no_rooms=1&amp;sr_order=popularity&amp;sr_pri_blocks=25049420_251342042_2_42_0__190000&amp;srepoch=1587068931&amp;srpvid=d5c99001d9880051&amp;ucfs=1&amp;from=searchresults,['Room service'],"['Pets:Pets are not allowed.:', ""Food &amp; Drink:On-site coffee shop:Chocolate/Cookies:Additional charge:Fruit:Additional charge:Bottle of water:Additional charge:Kid-friendly buffet:Kids' meals:Additional charge:Special diet meals (on request):Breakfast in the room:Restaurant:"", 'Internet:WiFi is available in all areas and is free of charge.:', 'Parking:', 'Private parking is available on site (reservation is not possible) and charges apply.:Accessible parking:Parking garage:Secure parking:', 'Transportation:Airport drop-off:Additional charge:Airport pickup:Additional charge:', 'Front Desk Services:Lockers:Private check-in/out:Concierge:ATM on site:Baggage storage:Ticket service:Tour desk:Currency exchange:Express check-in/out:24-hour front desk:', ""Entertainment &amp; Family Services:Kids' TV channels:"", 'Cleaning Services:Suit press:Additional charge:Shoeshine:Ironing service:Additional charge:Dry cleaning:Additional charge:Laundry:Additional charge:', 'Business Facilities:Fax/Photocopying:Additional charge:Business center:Additional charge:Meeting/Banquet facilities:Additional charge:', 'Safety &amp; Security:Fire extinguishers:CCTV outside property:CCTV in common areas:Smoke alarms:Security alarm:24-hour security:Safe:', 'General:Air conditioning:Shops (on site):Heating:Soundproof rooms:Gift shop:Elevator:Honeymoon suite:VIP room facilities:Family rooms:Facilities for disabled guests:Airport shuttle:Non-smoking rooms:Newspapers:Room service:', 'Languages Spoken:', 'Arabic:English:Urdu:']",Madinah
7,Hafawah Suites,4.3 km from center, 8.4 ,251,https://booking.com/hotel/sa/hfw-llwhdt-lskny.html?aid=397594&amp;label=gog235jc-1FCAEoggI46AdIM1gDaMQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALnor70BcACAQ&amp;sid=9a8ae4d8867833bea83d9859cbe75bff&amp;all_sr_blocks=380350201_142121673_0_0_0&amp;checkin=2020-05-10&amp;checkout=2020-05-11&amp;dest_id=-3092186&amp;dest_type=city&amp;group_adults=2&amp;group_children=0&amp;hapos=8&amp;highlighted_blocks=380350201_142121673_0_0_0&amp;hpos=8&amp;no_rooms=1&amp;sr_order=popularity&amp;sr_pri_blocks=380350201_142121673_0_0_0__25116&amp;srepoch=1587068931&amp;srpvid=d5c99001d9880051&amp;ucfs=1&amp;from=searchresults,[],"['Outdoors:Sun deck:Terrace:', 'Pets:Pets are not allowed.:', 'Activities:Water park:', 'Food &amp; Drink:On-site coffee shop:Bottle of water:Vending machine (snacks):Vending machine (drinks):', 'Internet:WiFi is available in all areas and is free of charge.:', 'Parking:', 'Free private parking is available  on site (reservation is not needed).:Parking garage:Street parking:Secure parking:', ""Health &amp; Wellness Facilities:Swimming pool:Swimming pool:Kids' pool:Beach chairs/Loungers:Pool/Beach towels:Rooftop pool:Waterslide:Bathhouse:Outdoor pool (year-round):Outdoor pool:Sauna:"", 'Front Desk Services:Baggage storage:24-hour front desk:', 'Cleaning Services:Daily housekeeping:Ironing service:', 'Business Facilities:Business center:', 'Shops:Shops (on site):', 'Safety &amp; Security:Fire extinguishers:CCTV outside property:CCTV in common areas:Smoke alarms:Security alarm:24-hour security:', 'Miscellaneous:Designated smoking area:Air conditioning:Smoke-free property:Soundproof rooms:Elevator:Non-smoking rooms:', 'Languages Spoken:', 'Arabic:English:Urdu:']",Madinah
8,Al Mukhtara International Hotel,700 m from center, 6.3 ,470,https://booking.com/hotel/sa/al-mukhtara-international.html?aid=397594&amp;label=gog235jc-1FCAEoggI46AdIM1gDaMQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALnor70BcACAQ&amp;sid=9a8ae4d8867833bea83d9859cbe75bff&amp;all_sr_blocks=36913703_226094463_0_42_0&amp;checkin=2020-05-10&amp;checkout=2020-05-11&amp;dest_id=-3092186&amp;dest_type=city&amp;group_adults=2&amp;group_children=0&amp;hapos=9&amp;highlighted_blocks=36913703_226094463_0_42_0&amp;hpos=9&amp;no_rooms=1&amp;sr_order=popularity&amp;sr_pri_blocks=36913703_226094463_0_42_0__47000&amp;srepoch=1587068931&amp;srpvid=d5c99001d9880051&amp;ucfs=1&amp;from=searchresults,['Free parking'],"['Pets:Pets are not allowed.:', 'Food &amp; Drink:Restaurant:', 'Internet:WiFi is available in the hotel rooms and costs  SAR  5 per  hour.:', 'Parking:', 'Private parking is available on site (reservation is needed) and costs  SAR 50 per  day.:', 'Services:Daily housekeeping:Ironing service:Additional charge:Dry cleaning:Additional charge:Laundry:Additional charge:24-hour front desk:Room service:', 'General:Paid WiFi:Air conditioning:Elevator:Family rooms:Facilities for disabled guests:Non-smoking rooms:', 'Languages Spoken:', 'Arabic:English:']",Madinah
9,Rove Al Madinah Hotel,650 m from center, 8.2 ,"1,000",https://booking.com/hotel/sa/holiday-villa-madinah.html?aid=397594&amp;label=gog235jc-1FCAEoggI46AdIM1gDaMQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALnor70BcACAQ&amp;sid=9a8ae4d8867833bea83d9859cbe75bff&amp;all_sr_blocks=30826501_122934202_0_1_0&amp;checkin=2020-05-10&amp;checkout=2020-05-11&amp;dest_id=-3092186&amp;dest_type=city&amp;group_adults=2&amp;group_children=0&amp;hapos=10&amp;highlighted_blocks=30826501_122934202_0_1_0&amp;hpos=10&amp;no_rooms=1&amp;sr_order=popularity&amp;sr_pri_blocks=30826501_122934202_0_1_0__100000&amp;srepoch=1587068931&amp;srpvid=d5c99001d9880051&amp;ucfs=1&amp;from=searchresults,['Family rooms'],"['Pets:Pets are not allowed.:', 'Food &amp; Drink:On-site coffee shop:Fruit:Additional charge:Bottle of water:Additional charge:Special diet meals (on request):Snack bar:Restaurant:', 'Internet:WiFi is available in all areas and is free of charge.:', 'Parking:', 'Parking options available:Street parking:Secure parking:', 'Transportation:Airport drop-off:Additional charge:Airport pickup:Additional charge:', 'Front Desk Services:Lockers:Concierge:ATM on site:Currency exchange:24-hour front desk:', 'Cleaning Services:Daily housekeeping:Shoeshine:Ironing service:Additional charge:Dry cleaning:Additional charge:Laundry:Additional charge:', 'Business Facilities:Fax/Photocopying:Additional charge:Business center:Additional charge:Meeting/Banquet facilities:Additional charge:', 'Safety &amp; Security:Fire extinguishers:CCTV outside property:CCTV in common areas:Smoke alarms:Security alarm:24-hour security:Safe:Additional charge:', 'General:Shuttle service:Convenience store (on site):Shuttle service (additional charge):Air conditioning:Shops (on site):Car rental:Packed lunches:Gift shop:Elevator:Honeymoon suite:VIP room facilities:Family rooms:Facilities for disabled guests:Airport shuttle:Non-smoking rooms:Newspapers:Room service:', 'Languages Spoken:', 'Arabic:English:Turkish:Urdu:']",Madinah
